mpg,cylinders,displacement,horsepower,weight,acceleration,model year,power_to_weight,origin_1,origin_2,origin_3
13.0,8,350.0,150.0,4699,14.5,74,0.03192168546499255,True,False,False
14.0,8,318.0,150.0,4457,13.5,74,0.03365492483733453,True,False,False
14.0,8,302.0,140.0,4638,16.0,74,0.030185424752048298,True,False,False
14.0,8,304.0,150.0,4257,15.5,74,0.035236081747709654,True,False,False
29.0,4,98.0,83.0,2219,16.5,74,0.03740423614240649,False,True,False
26.0,4,79.0,67.0,1963,15.5,74,0.03413143148242486,False,True,False
26.0,4,97.0,78.0,2300,14.5,74,0.03391304347826087,False,True,False
31.0,4,76.0,52.0,1649,16.5,74,0.031534263189812006,False,False,True
32.0,4,83.0,61.0,2003,19.0,74,0.030454318522216674,False,False,True
28.0,4,90.0,75.0,2125,14.5,74,0.03529411764705882,True,False,False
24.0,4,90.0,75.0,2108,15.5,74,0.03557874762808349,False,True,False
26.0,4,116.0,75.0,2246,14.0,74,0.033392698130008905,False,True,False
24.0,4,120.0,97.0,2489,15.0,74,0.038971474487746086,False,False,True
26.0,4,108.0,93.0,2391,15.5,74,0.03889585947302384,False,False,True
31.0,4,79.0,67.0,2000,16.0,74,0.0335,False,True,False
19.0,6,225.0,95.0,3264,16.0,75,0.029105392156862746,True,False,False
18.0,6,250.0,105.0,3459,16.0,75,0.030355594102341718,True,False,False
15.0,6,250.0,72.0,3432,21.0,75,0.02097902097902098,True,False,False
15.0,6,250.0,72.0,3158,19.5,75,0.022799240025332488,True,False,False
16.0,8,400.0,170.0,4668,11.5,75,0.03641816623821765,True,False,False
15.0,8,350.0,145.0,4440,14.0,75,0.03265765765765766,True,False,False
16.0,8,318.0,150.0,4498,14.5,75,0.03334815473543797,True,False,False
14.0,8,351.0,148.0,4657,13.5,75,0.031780115954477134,True,False,False
17.0,6,231.0,110.0,3907,21.0,75,0.028154594317890965,True,False,False
16.0,6,250.0,105.0,3897,18.5,75,0.026943802925327175,True,False,False
15.0,6,258.0,110.0,3730,19.0,75,0.029490616621983913,True,False,False
18.0,6,225.0,95.0,3785,19.0,75,0.02509907529722589,True,False,False
21.0,6,231.0,110.0,3039,15.0,75,0.0361961171437973,True,False,False
20.0,8,262.0,110.0,3221,13.5,75,0.034150884818379384,True,False,False
13.0,8,302.0,129.0,3169,12.0,75,0.04070684758598927,True,False,False
29.0,4,97.0,75.0,2171,16.0,75,0.03454629203132197,False,False,True
23.0,4,140.0,83.0,2639,17.0,75,0.03145130731337628,True,False,False
20.0,6,232.0,100.0,2914,16.0,75,0.03431708991077557,True,False,False
23.0,4,140.0,78.0,2592,18.5,75,0.03009259259259259,True,False,False
24.0,4,134.0,96.0,2702,13.5,75,0.03552923760177646,False,False,True
25.0,4,90.0,71.0,2223,16.5,75,0.031938821412505626,False,True,False
24.0,4,119.0,97.0,2545,17.0,75,0.0381139489194499,False,False,True
18.0,6,171.0,97.0,2984,14.5,75,0.032506702412868634,True,False,False
29.0,4,90.0,70.0,1937,14.0,75,0.036138358286009295,False,True,False
19.0,6,232.0,90.0,3211,17.0,75,0.02802865151043289,True,False,False
23.0,4,115.0,95.0,2694,15.0,75,0.03526354862657758,False,True,False
23.0,4,120.0,88.0,2957,17.0,75,0.029759891782211702,False,True,False
22.0,4,121.0,98.0,2945,14.5,75,0.033276740237691005,False,True,False
25.0,4,121.0,115.0,2671,13.5,75,0.0430550355672033,False,True,False
33.0,4,91.0,53.0,1795,17.5,75,0.029526462395543174,False,False,True
28.0,4,107.0,86.0,2464,15.5,76,0.0349025974025974,False,True,False
25.0,4,116.0,81.0,2220,16.9,76,0.03648648648648649,False,True,False
25.0,4,140.0,92.0,2572,14.9,76,0.03576982892690513,True,False,False
26.0,4,98.0,79.0,2255,17.7,76,0.03503325942350333,True,False,False
27.0,4,101.0,83.0,2202,15.3,76,0.037693006357856496,False,True,False
17.5,8,305.0,140.0,4215,13.0,76,0.033214709371293,True,False,False
16.0,8,318.0,150.0,4190,13.0,76,0.03579952267303103,True,False,False
15.5,8,304.0,120.0,3962,13.9,76,0.03028773346794548,True,False,False
14.5,8,351.0,152.0,4215,12.8,76,0.03606168446026097,True,False,False
22.0,6,225.0,100.0,3233,15.4,76,0.03093102381688834,True,False,False
22.0,6,250.0,105.0,3353,14.5,76,0.031315240083507306,True,False,False
24.0,6,200.0,81.0,3012,17.6,76,0.026892430278884463,True,False,False
22.5,6,232.0,90.0,3085,17.6,76,0.029173419773095625,True,False,False
24.5,4,98.0,60.0,2164,22.1,76,0.027726432532347505,True,False,False
29.0,4,90.0,70.0,1937,14.2,76,0.036138358286009295,False,True,False
33.0,4,91.0,53.0,1795,17.4,76,0.029526462395543174,False,False,True
20.0,6,225.0,100.0,3651,17.7,76,0.027389756231169543,True,False,False
18.0,6,250.0,78.0,3574,21.0,76,0.02182428651371013,True,False,False
18.5,6,250.0,110.0,3645,16.2,76,0.03017832647462277,True,False,False
17.5,6,258.0,95.0,3193,17.8,76,0.029752583777012214,True,False,False
29.5,4,97.0,71.0,1825,12.2,76,0.03890410958904109,False,True,False
32.0,4,85.0,70.0,1990,17.0,76,0.035175879396984924,False,False,True
28.0,4,97.0,75.0,2155,16.4,76,0.03480278422273782,False,False,True
26.5,4,140.0,72.0,2565,13.6,76,0.028070175438596492,True,False,False
20.0,4,130.0,102.0,3150,15.7,76,0.03238095238095238,False,True,False
13.0,8,318.0,150.0,3940,13.2,76,0.03807106598984772,True,False,False
19.0,4,120.0,88.0,3270,21.9,76,0.02691131498470948,False,True,False
19.0,6,156.0,108.0,2930,15.5,76,0.03686006825938567,False,False,True
16.5,6,168.0,120.0,3820,16.7,76,0.031413612565445025,False,True,False
16.5,8,350.0,180.0,4380,12.1,76,0.0410958904109589,True,False,False
13.0,8,350.0,145.0,4055,12.0,76,0.035758323057953144,True,False,False
13.0,8,302.0,130.0,3870,15.0,76,0.03359173126614987,True,False,False
13.0,8,318.0,150.0,3755,14.0,76,0.03994673768308921,True,False,False
31.5,4,98.0,68.0,2045,18.5,77,0.033251833740831294,False,False,True
30.0,4,111.0,80.0,2155,14.8,77,0.037122969837587005,True,False,False
36.0,4,79.0,58.0,1825,18.6,77,0.03178082191780822,False,True,False
25.5,4,122.0,96.0,2300,15.5,77,0.04173913043478261,True,False,False
33.5,4,85.0,70.0,1945,16.8,77,0.03598971722365039,False,False,True
17.5,8,305.0,145.0,3880,12.5,77,0.037371134020618556,True,False,False
17.0,8,260.0,110.0,4060,19.0,77,0.027093596059113302,True,False,False
15.5,8,318.0,145.0,4140,13.7,77,0.035024154589371984,True,False,False
15.0,8,302.0,130.0,4295,14.9,77,0.030267753201396973,True,False,False
17.5,6,250.0,110.0,3520,16.4,77,0.03125,True,False,False
20.5,6,231.0,105.0,3425,16.9,77,0.030656934306569343,True,False,False
19.0,6,225.0,100.0,3630,17.7,77,0.027548209366391185,True,False,False
18.5,6,250.0,98.0,3525,19.0,77,0.027801418439716313,True,False,False
16.0,8,400.0,180.0,4220,11.1,77,0.04265402843601896,True,False,False
15.5,8,350.0,170.0,4165,11.4,77,0.04081632653061224,True,False,False
15.5,8,400.0,190.0,4325,12.2,77,0.04393063583815029,True,False,False
16.0,8,351.0,149.0,4335,14.5,77,0.03437139561707036,True,False,False
29.0,4,97.0,78.0,1940,14.5,77,0.04020618556701031,False,True,False
24.5,4,151.0,88.0,2740,16.0,77,0.032116788321167884,True,False,False
26.0,4,97.0,75.0,2265,18.2,77,0.033112582781456956,False,False,True
25.5,4,140.0,89.0,2755,15.8,77,0.032304900181488204,True,False,False
30.5,4,98.0,63.0,2051,17.0,77,0.030716723549488054,True,False,False
33.5,4,98.0,83.0,2075,15.9,77,0.04,True,False,False
30.0,4,97.0,67.0,1985,16.4,77,0.033753148614609575,False,False,True
30.5,4,97.0,78.0,2190,14.1,77,0.03561643835616438,False,True,False
22.0,6,146.0,97.0,2815,14.5,77,0.034458259325044406,False,False,True
21.5,4,121.0,110.0,2600,12.8,77,0.04230769230769231,False,True,False
21.5,3,80.0,110.0,2720,13.5,77,0.04044117647058824,False,False,True
43.1,4,90.0,48.0,1985,21.5,78,0.024181360201511334,False,True,False
36.1,4,98.0,66.0,1800,14.4,78,0.03666666666666667,True,False,False
32.8,4,78.0,52.0,1985,19.4,78,0.02619647355163728,False,False,True
39.4,4,85.0,70.0,2070,18.6,78,0.033816425120772944,False,False,True
36.1,4,91.0,60.0,1800,16.4,78,0.03333333333333333,False,False,True
19.9,8,260.0,110.0,3365,15.5,78,0.03268945022288262,True,False,False
19.4,8,318.0,140.0,3735,13.2,78,0.03748326639892905,True,False,False
20.2,8,302.0,139.0,3570,12.8,78,0.03893557422969188,True,False,False
19.2,6,231.0,105.0,3535,19.2,78,0.0297029702970297,True,False,False
20.5,6,200.0,95.0,3155,18.2,78,0.030110935023771792,True,False,False
20.2,6,200.0,85.0,2965,15.8,78,0.02866779089376054,True,False,False
25.1,4,140.0,88.0,2720,15.4,78,0.03235294117647059,True,False,False
20.5,6,225.0,100.0,3430,17.2,78,0.029154518950437316,True,False,False
19.4,6,232.0,90.0,3210,17.2,78,0.028037383177570093,True,False,False
20.6,6,231.0,105.0,3380,15.8,78,0.03106508875739645,True,False,False
20.8,6,200.0,85.0,3070,16.7,78,0.02768729641693811,True,False,False
18.6,6,225.0,110.0,3620,18.7,78,0.03038674033149171,True,False,False
18.1,6,258.0,120.0,3410,15.1,78,0.03519061583577713,True,False,False
19.2,8,305.0,145.0,3425,13.2,78,0.042335766423357665,True,False,False
17.7,6,231.0,165.0,3445,13.4,78,0.047895500725689405,True,False,False
18.1,8,302.0,139.0,3205,11.2,78,0.04336973478939157,True,False,False
17.5,8,318.0,140.0,4080,13.7,78,0.03431372549019608,True,False,False
30.0,4,98.0,68.0,2155,16.5,78,0.03155452436194896,True,False,False
27.5,4,134.0,95.0,2560,14.2,78,0.037109375,False,False,True
27.2,4,119.0,97.0,2300,14.7,78,0.04217391304347826,False,False,True
30.9,4,105.0,75.0,2230,14.5,78,0.033632286995515695,True,False,False
21.1,4,134.0,95.0,2515,14.8,78,0.03777335984095427,False,False,True
23.2,4,156.0,105.0,2745,16.7,78,0.03825136612021858,True,False,False
23.8,4,151.0,85.0,2855,17.6,78,0.0297723292469352,True,False,False
23.9,4,119.0,97.0,2405,14.9,78,0.040332640332640335,False,False,True
20.3,5,131.0,103.0,2830,15.9,78,0.036395759717314485,False,True,False
17.0,6,163.0,125.0,3140,13.6,78,0.03980891719745223,False,True,False
21.6,4,121.0,115.0,2795,15.7,78,0.04114490161001789,False,True,False
16.2,6,163.0,133.0,3410,15.8,78,0.03900293255131965,False,True,False
31.5,4,89.0,71.0,1990,14.9,78,0.035678391959798994,False,True,False
29.5,4,98.0,68.0,2135,16.6,78,0.03185011709601874,False,False,True
21.5,6,231.0,115.0,3245,15.4,79,0.03543913713405239,True,False,False
19.8,6,200.0,85.0,2990,18.2,79,0.028428093645484948,True,False,False
22.3,4,140.0,88.0,2890,17.3,79,0.03044982698961938,True,False,False
20.2,6,232.0,90.0,3265,18.2,79,0.027565084226646247,True,False,False
20.6,6,225.0,110.0,3360,16.6,79,0.03273809523809524,True,False,False
17.0,8,305.0,130.0,3840,15.4,79,0.033854166666666664,True,False,False
17.6,8,302.0,129.0,3725,13.4,79,0.03463087248322148,True,False,False
16.5,8,351.0,138.0,3955,13.2,79,0.03489254108723135,True,False,False
18.2,8,318.0,135.0,3830,15.2,79,0.03524804177545692,True,False,False
16.9,8,350.0,155.0,4360,14.9,79,0.03555045871559633,True,False,False
15.5,8,351.0,142.0,4054,14.3,79,0.03502713369511593,True,False,False
19.2,8,267.0,125.0,3605,15.0,79,0.03467406380027739,True,False,False
18.5,8,360.0,150.0,3940,13.0,79,0.03807106598984772,True,False,False
31.9,4,89.0,71.0,1925,14.0,79,0.036883116883116886,False,True,False
34.1,4,86.0,65.0,1975,15.2,79,0.03291139240506329,False,False,True
35.7,4,98.0,80.0,1915,14.4,79,0.04177545691906005,True,False,False
27.4,4,121.0,80.0,2670,15.0,79,0.0299625468164794,True,False,False
25.4,5,183.0,77.0,3530,20.1,79,0.02181303116147309,False,True,False
23.0,8,350.0,125.0,3900,17.4,79,0.03205128205128205,True,False,False
34.2,4,105.0,70.0,2200,13.2,79,0.031818181818181815,True,False,False
34.5,4,105.0,70.0,2150,14.9,79,0.03255813953488372,True,False,False
31.8,4,85.0,65.0,2020,19.2,79,0.03217821782178218,False,False,True
37.3,4,91.0,69.0,2130,14.7,79,0.0323943661971831,False,True,False
28.4,4,151.0,90.0,2670,16.0,79,0.033707865168539325,True,False,False
28.8,6,173.0,115.0,2595,11.3,79,0.04431599229287091,True,False,False
26.8,6,173.0,115.0,2700,12.9,79,0.04259259259259259,True,False,False
33.5,4,151.0,90.0,2556,13.2,79,0.035211267605633804,True,False,False
41.5,4,98.0,76.0,2144,14.7,80,0.03544776119402985,False,True,False
38.1,4,89.0,60.0,1968,18.8,80,0.03048780487804878,False,False,True
32.1,4,98.0,70.0,2120,15.5,80,0.0330188679245283,True,False,False
37.2,4,86.0,65.0,2019,16.4,80,0.032194155522535906,False,False,True
28.0,4,151.0,90.0,2678,16.5,80,0.033607169529499624,True,False,False
26.4,4,140.0,88.0,2870,18.1,80,0.030662020905923345,True,False,False
24.3,4,151.0,90.0,3003,20.1,80,0.029970029970029972,True,False,False
19.1,6,225.0,90.0,3381,18.7,80,0.026619343389529725,True,False,False
34.3,4,97.0,78.0,2188,15.8,80,0.0356489945155393,False,True,False
29.8,4,134.0,90.0,2711,15.5,80,0.033198081888601995,False,False,True
31.3,4,120.0,75.0,2542,17.5,80,0.029504327301337528,False,False,True
37.0,4,119.0,92.0,2434,15.0,80,0.03779786359901397,False,False,True
32.2,4,108.0,75.0,2265,15.2,80,0.033112582781456956,False,False,True
27.9,4,156.0,105.0,2800,14.4,80,0.0375,True,False,False
40.8,4,85.0,65.0,2110,19.2,80,0.030805687203791468,False,False,True
44.3,4,90.0,48.0,2085,21.7,80,0.02302158273381295,False,True,False
36.4,5,121.0,67.0,2950,19.9,80,0.02271186440677966,False,True,False
30.0,4,146.0,67.0,3250,21.8,80,0.020615384615384615,False,True,False
44.6,4,91.0,67.0,1850,13.8,80,0.036216216216216214,False,False,True
40.9,4,85.0,93.5,1835,17.3,80,0.050953678474114444,False,True,False
33.8,4,97.0,67.0,2145,18.0,80,0.031235431235431235,False,False,True
29.8,4,89.0,62.0,1845,15.3,80,0.03360433604336043,False,True,False
32.7,6,168.0,132.0,2910,11.4,80,0.04536082474226804,False,False,True
23.7,3,70.0,100.0,2420,12.5,80,0.04132231404958678,False,False,True
35.0,4,122.0,88.0,2500,15.1,80,0.0352,False,True,False
23.6,4,140.0,93.5,2905,14.3,80,0.032185886402753876,True,False,False
32.4,4,107.0,72.0,2290,17.0,80,0.0314410480349345,False,False,True
27.2,4,135.0,84.0,2490,15.7,81,0.033734939759036145,True,False,False
26.6,4,151.0,84.0,2635,16.4,81,0.031878557874762806,True,False,False
25.8,4,156.0,92.0,2620,14.4,81,0.035114503816793895,True,False,False
23.5,6,173.0,110.0,2725,12.6,81,0.04036697247706422,True,False,False
30.0,4,135.0,84.0,2385,12.9,81,0.03522012578616352,True,False,False
39.1,4,79.0,58.0,1755,16.9,81,0.03304843304843305,False,False,True
39.0,4,86.0,64.0,1875,16.4,81,0.034133333333333335,True,False,False
35.1,4,81.0,60.0,1760,16.1,81,0.03409090909090909,False,False,True
32.3,4,97.0,67.0,2065,17.8,81,0.0324455205811138,False,False,True
37.0,4,85.0,65.0,1975,19.4,81,0.03291139240506329,False,False,True
37.7,4,89.0,62.0,2050,17.3,81,0.03024390243902439,False,False,True
34.1,4,91.0,68.0,1985,16.0,81,0.03425692695214106,False,False,True
34.7,4,105.0,63.0,2215,14.9,81,0.028442437923250564,True,False,False
34.4,4,98.0,65.0,2045,16.2,81,0.03178484107579462,True,False,False
29.9,4,98.0,65.0,2380,20.7,81,0.0273109243697479,True,False,False
33.0,4,105.0,74.0,2190,14.2,81,0.033789954337899546,False,True,False
34.5,4,100.0,93.5,2320,15.8,81,0.04030172413793103,False,True,False
33.7,4,107.0,75.0,2210,14.4,81,0.033936651583710405,False,False,True
32.4,4,108.0,75.0,2350,16.8,81,0.031914893617021274,False,False,True
32.9,4,119.0,100.0,2615,14.8,81,0.03824091778202677,False,False,True
31.6,4,120.0,74.0,2635,18.3,81,0.02808349146110057,False,False,True
28.1,4,141.0,80.0,3230,20.4,81,0.02476780185758514,False,True,False
30.7,6,145.0,76.0,3160,19.6,81,0.024050632911392405,False,True,False
25.4,6,168.0,116.0,2900,12.6,81,0.04,False,False,True
24.2,6,146.0,120.0,2930,13.8,81,0.040955631399317405,False,False,True
22.4,6,231.0,110.0,3415,15.8,81,0.032210834553440704,True,False,False
26.6,8,350.0,105.0,3725,19.0,81,0.028187919463087248,True,False,False
20.2,6,200.0,88.0,3060,17.1,81,0.02875816993464052,True,False,False
17.6,6,225.0,85.0,3465,16.6,81,0.024531024531024532,True,False,False
28.0,4,112.0,88.0,2605,19.6,82,0.03378119001919386,True,False,False
27.0,4,112.0,88.0,2640,18.6,82,0.03333333333333333,True,False,False
34.0,4,112.0,88.0,2395,18.0,82,0.03674321503131524,True,False,False
31.0,4,112.0,85.0,2575,16.2,82,0.03300970873786408,True,False,False
29.0,4,135.0,84.0,2525,16.0,82,0.03326732673267327,True,False,False
27.0,4,151.0,90.0,2735,18.0,82,0.03290676416819013,True,False,False
24.0,4,140.0,92.0,2865,16.4,82,0.03211169284467714,True,False,False
23.0,4,151.0,93.5,3035,20.5,82,0.030807248764415155,True,False,False
36.0,4,105.0,74.0,1980,15.3,82,0.03737373737373737,False,True,False
37.0,4,91.0,68.0,2025,18.2,82,0.03358024691358025,False,False,True
31.0,4,91.0,68.0,1970,17.6,82,0.03451776649746193,False,False,True
38.0,4,105.0,63.0,2125,14.7,82,0.029647058823529412,True,False,False
36.0,4,98.0,70.0,2125,17.3,82,0.03294117647058824,True,False,False
36.0,4,120.0,88.0,2160,14.5,82,0.040740740740740744,False,False,True
36.0,4,107.0,75.0,2205,14.5,82,0.034013605442176874,False,False,True
34.0,4,108.0,70.0,2245,16.9,82,0.031180400890868598,False,False,True
38.0,4,91.0,67.0,1965,15.0,82,0.03409669211195929,False,False,True
32.0,4,91.0,67.0,1965,15.7,82,0.03409669211195929,False,False,True
